"urn:cts:greekLit:tlg0008.tlg001.berti:1.17@οὐκ[1]-1.17@διέστειλε[1]","ζωρότερον κεραίρειν","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.203","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.203@ζωρότερον[1]-9.203@κέραιε[1]"
"urn:cts:greekLit:tlg0008.tlg001.berti:1.18@ἀλλ[1]-1.18@πιθήσας[1]","ἀλλ᾽ ἐπεὶ ἀασάμην φρεσὶ λευγαλέῃσι πιθήσας","urn:cts:greekLit:tlg0012.tlg001.ogl01:9.119","urn:cts:greekLit:tlg0012.tlg001.perseus-grc1:9.119"
